1,Upper abdominal pain,pain in upper abdominal,General physician
2,Lower abdominal pain,pain in lower abdominal,General physician
3,Abscess,collection of pus,General physician
4,Alcohol abuse,Drinking habit,Psychiatrist
5,Anxiety ,nervousness,Psychiatrist
6,Arm ache or pain,muscle pain,orthopedist
7,Back ache or pain,muscle pain,orthopedist
8,Bleeding tendency,bleeding,Gynecologist
9,Blood in vomit,blood vomiting,General physician
10,Bloody diarrhea,diarrhea,General physician
11,Pain of breast,chest pain,Gynecologist
12,Calf pain,leg pain,orthopedist
13,Chest pressure,heavyness in chest,Pulmonologist
14,Chills,shivering,General physician
15,Change in behavior,unhabited,Psychiatrist
16,Constipation,motion problem,Gastroenterologist
17,Cough,throat problem,ENT
18,Dark stools,Dark stools,Gastroenterologist
19,Depressed,stress,Psychiatrist
20,Diarrhea,Dark stools,General physician
21,Dizziness,dizzy,General physician
22,Double vision,diplopia,Ophthalmologist
23,Ear pressure,ear pain,ENT
24,Pain in the ear,eye pain,Ophthalmologist
25,Elbow ache or pain,hand bone pain,orthopedist
26,Eye pain ,irritation in eye,Ophthalmologist
27,Facial pain,facial muscle pain,Dermatologist
28,Fainting,Dark stools,General physician
29,Fever,Dark stools,General physician
30,Fever in the returning traveler,phobia of  travel,General physician
31,Fever of unknown origin,Dark stools,General physician
32,Flank pain,Dark stools,General physician
33,Frequent urination ,frequency,Urologist
35,Foot pain,leg pain,orthopedist
36,Cranky ,Dark stools,Psychiatrist
37,Groin pain,Dark stools,orthopedist
38,Delusions,hallucinations,Psychiatrist
39,Hand ache,muscle pain,General physician
40,Head injury,head hurt,Neurologist
41,Headache,head pain,General physician
42,Heel pain,leg pain,Physiotherapy
43,Heat illness,phobia of  heat,Psychiatrist
45,Hip pain,upper body pain,Physiotherapy
46,Hives,Dark stools,Dermatologist
47,Hoarse voice,Dark stools,ENT
48,Hypothermia ,low temperature,General physician
49,Incontinence ,leaking urine,Urologist
50,Insect sting,insect bit,General physician
51,Insomnia ,sleeping trouble,Psychiatrist
52,Skin itching,allergy,Dermatologist
53,Joint pain,pain in joint,orthopedist
54,Kidney pain,flank pain,Urologist
